username,rating,comment
cheanglaikhoun,5,买过很多次，非常棒！真的很香，真的很喜欢，吃了一口接着一口停不下来。，孩子觉得这个牌子适合他们的口味。下次再光顾！
s*****n,5,"Ordered 7 July, received 9 July. Fast delivery & items all packed nicely, carefully in bubble wrap with rigid cardboard."
a*****y,5,感谢卖家，习惯性五星好评⭐⭐⭐⭐⭐，卖家服务态度很好哟，价格公道，包货包的很好，有机会的话会回购，谢谢！
y*****e,5,"Taste:Good
Quality:Good

All items well received and in correct quantity, thank you seller for the extra items as free gift 🎁"
yiting82,5,产品不错还蛮喜欢的小小一个方便携带而且也不会很贵平民消费，derivery is very fast seller is very good 赞哦 item is very good and good kuality anyting can buy，，物流也不会很慢，物超所值值得购买哦推荐，店家也不错👍👍👍👍👍👍👍👍👍👍
tewsk,5,Product is bubble wrapped. Received in good condition. Fast delivery.
cuxiwm6xmx,5,买个好多次了，很好吃，孩子们都很喜欢吃好鱼道手撕蟹柳。吃了一包接一包，很快就会被吃完。吃完了下次再来光顾吧！
j*****x,5,"Taste:taste good and texture is great
Quality:overall good quality product"
a*****a,5,The shipping very best and recommend to buy haha very delicious
michaelctm,5,"Taste:Tasty
Quality:manufacturer specs

Well packed, correct quantity, parcel arrived without damage, good seller, hope you sell a lot. Recommend to buy, no regrets."
catherinelau60361810,5,全部都在这家店买的🤭🤭🤭
chriswong9299,5,Good quality of products …… really fast fast delivery from seller
ivyyong1986,5,Received with good packing good product quantity will buy again with this seller
x*****_,4,"Fast delivery 
Good product quality 
fair price👍👍"
khaleenooi,5,"Food product quality, Good value for money, fast delivery."
catherinelau60361810,5,Taste:赞
catherinelau60361810,5,
t*****5,5,
choyling81,5,手撕蟹柳很好吃！賣家發貨快！到貨快！
shienyee0412,5,nice and fast delivery. Good in service and will purchase again
catherinelau60361810,5,Taste:good
r*****1,5,Quality:1
hooien1221,5,good
ccr858515,5,"Quality:Fast delivery,good service"
j*****g,3,Taste:OKAY not recommend to buy second time
sherryhaw123,5,好吃😋
a*****y,5,⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐
jiahui0322,5,
minghuey,5,
kikiphua,5,
eoko8113,5,
catherinelau60361810,5,
w*****1,5,
odieyan,5,
b*****1,5,
llmlai,5,
kellysong0413,5,
pangpeilin,5,
hojianhui,5,
kikixu1017,4,
kinkin217,5,
chongrou,5,
qinglow,5,
tasnimamalin,5,
minyee05,5,
hooien1221,5,
kinkin217,5,
eryneryn054,1,
catherinelau60361810,5,
catherinelau60361810,5,
puipui0804,5,
peilinglee917,5,
mandycwc19,5,
b*****1,5,
yct1217,5,
y*****0,5,
jtrademy,5,
wenxuanmok,5,
ylingchng,5,
planner2019.by.akira,5,
yumxue0912,5,
celinebeh9123,5,
b06c9ie32j,5,
jiahui0322,5,
ongk001,5,
2009mc,4,
79cynthiachai,5,
elly1106,5,
angel_991112,5,
jaycriss,5,
lihoong0716,5,
yanentang_coolingpatch,5,
xzboon72,5,
r_ealbanaida_xd,5,
chaw2000,5,
79cynthiachai,5,
nazriputra10,3,
baobeiting1992,5,
pucvtlpr47,5,
karenlee9424,5,
yen8363,5,
thenkimmin,5,
karenlee9424,5,
o6uf1d2pha,5,
w*****r,5,
3rp1sw3wp1,5,
vincent3934,5,
chooyichen,5,
79cynthiachai,5,
leemeici,5,
lee6000,5,
hayakuss2020,5,
dilowk,5,
shanmuganram,5,
maywan1234,5,
csiew86leemy,5,
jessicxin,5,
whitnie1219,5,
longzhenlong,5,
yxin66,5,
beautifulscarlet,5,
jeixel,5,
shirley055412,5,
dannygcc,5,
beautifulscarlet,5,
zoe_9977,5,
bii001207,5,
c*****0,5,
y*****8,5,
l*****e,5,
yeohhooisee,5,
l*****g,5,
qqjialynn,5,
yisssin,5,
mayy99,4,
syliew9999,5,
wenxuanmok,5,
xiaowu8888kokyo,5,
teohhaojie,5,
meihwah,5,
limyiling313,5,
qiujin97,2,
tianshun95,5,
mangoyi88,5,
huaxiang2005,5,
l*****g,5,
kcchong07,5,
chewhuey,5,
limben1208,5,
yslim3413,5,
huixuan28,5,
meow770,5,
kelvinlau2002,5,
c*****4,5,
frankyshim,5,
