username,rating,comment
renee0119,5,A few times purchased with the same seller. Responsive seller and fast shipping. Well-packed and all received in good condition.
khk_3321,3,"这次包装得不太理想!我怕饼干会压碎!!
还好，拆开后没碎。
有好几样饼制造期很新鲜呢!
肉松饼好吃，和上次的一样。
其他的味道要吃过才知!
Tq 商家。"
renee0119,5,"Taste:good
Texture:good

Fast shipping and all items checked correct by seller. Quite affordable and alot of choices. Received in good condition. Recommended!"
y*****8,5,"Taste:good

The packaging is good and the transportation is good再烤一烤會比較好吃，個人口味"
w*****g,5,"Texture:Not sure yet.
Taste:Not yet test..

first time ordered .. If It's suits my taste will ofered again.. Thank you seller..all items relieved with good condition ..❤"
j*****w,4,"Fast delivery in good packing
Thank you saller for the arrangement"
k*****a,3,"Bought with discount voucher on 27 Oct, good packing without bubble wrap! 👍
Both cookies were rather plain in flavour, not too sweet, yet have no taste of duck yolk, sweet potatoes & avocado at all. Besides they lack of the baking aroma found in those cookies bought in traditional bakery shops."
l*****g,5,"东西收到了，货物完好无损～
The goods are received and the goods are intact～"
3dpeipei998,5,超赞的，价廉物美，超好吃的，包装精细，客服服务态度超好，谢谢老板或老板娘，谢谢客服，值得购买。。。会再次回购，超喜欢黄梨酥👍
m*****0,5,"Very fast delivery. For me, the size is expected. Expiry date also ok bout 3-6months from manufacture date. I mistaken the chicken floss one, actually is just chicken floss flavour instead got real one. Got one is without expiry duration. But it’s ok, though haven taste yet, it will finish fast. 😊"
3dpeipei998,5,超好吃的，尤其是黄梨酥超好吃的，谢谢优惠券爱你哟~么哒~价廉物美，非常值得购买，赞赞赞会再次回购。。。
tamyeikwan,5,零食小吃到货了。。全部好可爱。。以为要等很久从中国来。。原来是现货。。还不懂那个味道好吃就是想买来试试。。就下单啦。。谢谢卖家的现货。。祝你生意兴隆。。
b*****9,5,"芋泥流心酥可以尝试一下，虽然芋泥感觉不是那么纯，但是中间的流心还不错

紫薯蛋黄卷就不是那么推荐了，吃不出紫薯蛋黄的味道，只有甜味"
calvin1413,5,"Arrive in good condition. 

Thanks for the good service. 

Will order again soon.."
ffbear98,5,"Very fast delivery. A bit disappointed for the size of each biscuit, very small although it's not tiny. 😂 Taste is good and fresh."
zg8ve5o9d5,5,Yummy yummy 😋. Thanks seller.  Fast delivery.  I love it.  I'll buy again from this shop.  ❤️😁🌷
cheeleongsiu,5,"1/12 下单 2/12 到货 Melacca >JB
凌晨12点拿到FS立刻下单，卖家也还没睡讯息我收到订单了😁当天早早就发货
今天下午茶就是你们了😍"
b*****e,5,"可能是疫情的关系.....来货有点慢～
基本上都算好吃😋除了蛋黄卷
不过价格算是很便宜了👍👍👍
来货包装也很好👍没有损坏👍👍
应该还会再次购买👍"
6*****_,2,"The item shipped out quick but pos laju kept for long time..
Very tiny size
And I dont like the taste... the yuzu 老婆饼 taste like chemicals, same with the red bean and yolk, I havent tried the pineapple tart  zzz lazy liao
Expensive lo so tiny"
raysechai,5,"tastes good, the matcha is bitter sweet taste, got 流心 and muachi is nice; 排名 best is 
1 cheese
2 matcha
3 taro
4 sweet potato
5 蛋黄酥"
khk_3321,4,"第一次买雪媚娘传统糕点心,我买了许多种类来试吃!它的包装好看!很吸引人!
流心
蛋黃酥很有旦黄味，金牌肉松饼好吃，紫薯好吃，牛油果酥好吃.."
c*****n,5,"Taste:全部都好吃

遇到假期运输有点慢了😓不过收到完整齐全的小吃就开心啦🤣还是要谢谢卖家的细心，已经购买第二次了还会继续光顾的，谢谢卖家🥰"
carmenloo1004,4,"Taste:Taste fake and like eating fragrances in every bite
Texture:Not crispy at all

Order received in good condition and the delivery is fast. But the food is not same as the packaging and pictures described. It’s not seller’s fault, since it’s the production from China."
vkong79,5,This seller got many snack choices all good try... I bought 3rd times.
k*****2,5,"Since you like online shopping, save more by using ShopBack to earn Cashback when you shop. Download the app and sign up with my referral link to get RM5! https://app.shopback.com/sj186sveXib"
s*****r,5,"Well received with good condition, thank you very much to seller, shopee and transportation. Recommend can buy from this shop"
j*****9,4,Not yet try... Another product sold out... Good value for money cause is small... Good product quality
d*****7,4,Express delivery. Yesterday order today received. Taste okay but size really small. Just 4 cm small.
sylviachang1402,5,"Nice product 👍🏻👍🏻👍🏻
Fast delivery too 👍🏻👍🏻👍🏻
Hope you sell plenty 👍🏻👍🏻👍🏻"
lily5511,5,"Received the item in good condition, fast Delivery , good value for money👍 Tqvm seller 🙏💕😍"
sida2426,5,Good product quality good value for money fast delivery 👍👍👍
imin1413,5,"Texture:good
Taste:good

Convenient to bring to office and will buy again."
a*****0,3,"Not really recommending to buy. Consider it as the tiktok famous snack, I do anticipate to have a taste, and to my surprised, the size is 1 bite size. Well, compatible to the price.

What disappointed is, the packing is very bad. Got a few damaged, and its not advisable to consume it"
0*****a,5,"First try this red bean mochi ，taste overall ok, not overly sweet"
abbylee13,5,第一次购买 收到货了 收到货了 发货很快下 两三天就寄到我家了🤗然后 谢谢买家送的礼物 然后蛋黄酥也很好吃一下 下
n*****u,2,"Taste:not good

Products are way smaller than I’ve expected. Quite disappointed with the product. Even though they are cheap, but they still didn’t worth the price."
s*****u,3,"Taste:Haven't tried it yet but hopefully it taste good..

The delivery time is extremely fast and acceptable. This item the pack is not open but can see thru the inner the biscuit has been chips and off... Hopefully the quality is still OK to eat."
e*****9,5,"Taste:每一个都好吃 只是很甜哈哈
Texture:流心，软软糯糯，香香甜甜

每天吃不一样口味当个下午茶就是很好的选择，在配个乌龙茶最喜欢了"
s*****w,5,"Taste:好
Texture:好

很快两个工作日就收到了，全部都是我喜欢吃的令食，美味可口，包装很安全，完美收货，非常满意，谢谢。"
s*****_,1,"Taste:too sweet

Fast delivery, but some of the products already expired or almost expired, 一分钱一分货, really not recommended"
w*****a,5,"Taste:ok
Texture:soft, good

All items arrived safely, but i don't really recommend the custard cause it's too eggy for me. Everything else is good. Thank you"
tonnywoo,3,"Taste:first time order it product mini cake.im have order yam mini. but u change to black gold cake.
Texture:thanks for the sellers and handsome postman service to me."
nszrg8rbe3,1,"Taste:first time buy, dont know yet
Texture:Be very careful to this seller !!!

Be Very Careful to this seller !!!  Untrusted !!!
6 pcs snack(蛋黃酥) l received today, the expiry date on 21/1/2022. Only 7 days left !!!
The 6pcs snack l bought :
- Produced 2021-09-23
- Best within 120 days(保质期120天)

Product webpage stated exp date 22/2/2022.
Seller reply snack are within 120 day."
s*****5,2,"不好吃，甜，很小，买外面传统的还比较好吃，而且也会比较便宜。这个价钱这样的品质，不值得买....
买三种：红豆，肉丝，芋头。都不好吃..."
steffy_clarence,4,"Bought a lot type of this snacks and the order get mixed it up. Some of it not in the correct quantities. Nevertheless, it still good. Just please ensure the correct snack and quantities are checked first."
xiaotingzi,5,"东西安全送达，并有用箱子好好包着，可是保质期挺近的。。。
外面的皮不好吃，里面的馅味道还行。。。
PS 芋泥流心酥真的有流心～"
k*****m,4,"All inside still good even the box is dented by courier. Not my liking as i feel that the pastry abit dried. Buy the floss muffin instead, it's good!"
catherine_ngmunhue,5,"Items received correctly, fast and in good condition. But didn’t expect so small piece only 😝"
j*****0,3,"Received items in a good condition. 
The taste of durian is so so, a bit artificial. 
It is not preference. 
I won't want to purchase them"
maymay000188,5,"Good seller, yumyum snack and fast delivery,thank you so much.整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍整挺好👍👍👍"
n*****9,5,Item received in good condition. Good product quality. Thanks Seller.
j*****g,5,"Good value for money, recommend to buy product from this seller"
jenniferhoong,5,"Satisfied!!!
Satisfied!!!
Satisfied!!!
Can enjoy to buy!"
6q.q9,5,Received. Very fast delivery. Good in condition. Thank you seller.
