username,rating,comment
j*****s,5,"Design:好看说累了 水哦🤩
Wrapping:包装很好 全方位用泡泡纸保护

Bubble wrap protect 👍🏻 盒子完好 没有凹陷
零食虽有一两包漏气了，不过整体都很好 满意
卖家服务棒棒的 ☺️❤️"
kojojo97,5,商家非常用心 真心可以购买哟 零食零食数量还多过110包 口味和零食种类繁多  delivery的包装很好 盒子也没被压坏 邮寄第二天就到了，连卡片也可以代写真的爱了 也非常感谢商家的用心 我闺蜜非常喜欢非常开心 谢谢你
csoongu,5,"Fast delivery ! 
Look NICE !!!"
i*****z,5,很推荐跟这位商家卖零食或者其他东西👍🏻，服务态度很好，有要求会满足，发货很快，三四天就到货了，虽然这零食礼盒是我想象中的小一些，但是礼盒一点损坏都没有，真的很推荐这个商家！
symiin86,5,Received items in good condition. Ordered on 12dec received on 17dec. Box so cute and quality. Snacks are much as like picture.
y*****m,5,"Fast Delivery.
Good Packaging.
Birthday Gift for Friend!!"
l*****i,5,"Design:design is good
Wrapping:good

A gift to friend, she got mentioned that some snacks漏风. seller helps to write the wished words on the card which is good"
michikoshirley,5,"Value for Money:Worth it
Design & Wrapping:Box no damage, wrapped with bubble wrap

Fast response and good service.
Recommended!"
n*****3,5,Very berry fast shipping.  Thank you for seller for the super speed. Received my parcel in time!!!
l*****3,5,"非常满意💕
卖家回复的信息的速度超快的，而且服务态度超级好，而且还帮我留言在小卡片，真的太棒了，大大力推荐一下👍"
l*****n,5,"Fast delivery by seller, reasonable price, overall is okay👍🏼👍🏼👍🏼👍🏼👍🏼"
p*****n,5,"Received in good condition, good value for money, will purchase with this seller again"
michael178,5,"东西收到了，很满意☺️，盒子全部完好无损。
卖家服务也很好👍，只不过可惜了忘了备注祝福卡，所以需要另外买过😅
发货也很快😁👍"
m*****7,5,"Product received in good condition, fast delivery! Thank you seller"
a*****n,4,收到时包装完好无损，里面附有一张卡片，只是有些零食是空的，不过整体来说是不错的，希望商家下次发货前可以先确认货物的质量，谢谢。
may_0204,5,"运输真的太快了！！大概昨天寄出今天就收到了👍👍
店家人也很好，会耐心等我把祝福语send给他
坦白讲，店家的零食礼盒真的比较划算
本来想要买40包零食的也断货了，刚好看到店家推出110包零食，就马上下单了
大推💕"
youneed_my,5,喜欢！！！！
h*****n,5,"Order: 15-12-21 14:04
Payment: 15-12-21 14:04
Ship: 17-12-21 17:00
Received: 18-12-21 16:15
Items received in good condition 👍"
stephystephystephy,5,"My friends love it so much 
A special gift
Fast delivery
Good seller"
e*****0,5,Very fast delivery. Got a lot of small snacks inside one box ☺️
mdmyew,5,"Design & Wrapping:great
Value for Money:like it very much

the parcel receive in good condition, i like it very well, will back to this seller again, thanks"
kplee205,5,"Fast Delivery 👍
客服服务一级棒👍
朋友收到后也非常开心😆
送礼最佳选择😉
谢谢客服帮我写生日卡😊"
u*****s,5,"Fast delivery
Packed nicely
Received in good condition
Good"
n*****3,5,110packs included the yam chip.  Seller pack super fast and send put the parcel very very fast  for my urgent order. Thank you so so much.
angelaliko,5,"Value for Money:Ok
Design & Wrapping:Satisfied

Cute and nice design of packaging. Good choice"
koh004,5,谢谢🥰好快呐，爱了爱了🥰
l*****e,5,good seller
c*****i,5,
t*****0,5,fast delivery👍👍👍fast respond by seller，the goods are complete with nothing missing👍
poktsueyping,5,
shihlinglian,5,卖家很友善，发货也超快的~很满意这家的服务态度，大推！
q*****2,5,
k*****y,5,"Good service, good packaging, fast shipping"
tanshinzhe,5,前天下单 今天就收到了 服务很快！ 送朋友 她很开心也很喜欢😍😍
fionlee9886,5,
s*****7,5,good😍😍
wongphongyin,5,Very nice ya
harison6010,5,非常满意 发货很快一天收到的😊
yuanyuan1235,5,很快就收到了，差不多两个鞋子的大，里面零食我不能看要送人的
joceelf96,5,Nice service and packaging 💕
jooann00,5,Pl朋友收到了 很满意 谢谢
agift98,5,服务超好的！还帮忙打字体 还有很快送到 圣诞节之前 谢谢🙏很推荐这家
mimeow_345,5,发货之前会拍照，服务很好 物流快 猫猫也喜欢~！🤣
m*****e,5,"Design & Wrapping:不错
Value for Money:还行

产品是不错的，就是快递太慢了，但是我不会快递而给差评。"
cammychia79,5,Good...will repeat
seyo2000,5,朋友收到的 很喜欢 客服也很有耐心❤️
q*****r,5,不错
s*****u,5,服务很好，礼盒真的很可爱，闺蜜非常喜欢，谢谢。
c*****0,5,货很快到，店家回复态度也很好👍🏻
kyletan0211,5,Value for Money:Good my girlfriend really like
h*****y,5,真的很快送到家哦! 很棒!
cheesuetming,5,Fast delivery
z*****0,5,"收到的人很喜欢
店家也很有耐心"
9*****d,1,look like near expired products
jess_2017,5,
peiling0712,5,
purpleloo,5,
sishinting,2,
sam3055,5,
lawzaizai1999,5,
k*****0,5,
k*****0,5,
geraldine99,5,
cheong0815,5,
yangyee90,5,
angolivia,5,
j1405,5,
karen8876,5,
florence0222,5,
chingwaijie,3,
hccheah65,5,
huixin0506,3,
jeffer04,5,
kwongsiangding,5,
henrygreenah,5,
edwardjee99,5,
y*****7,5,
ooiweien,5,
andrewlooi88,5,
piong52041,5,
shookwen,5,
wendytanghuiyee,5,
sheva_w,5,
keen85,5,
m*****7,5,
gbhere,3,
wr_72g3yqo,5,
c*****0,5,
jeffreykongtinsheng,5,
joey0207,5,
wongyeejun0227,5,
emieleeyt,5,
7*****r,5,
ruru2003chuan,5,
hawkaichun,5,
jayee424,5,
s5s4xrr2uk,5,
cky1256,5,
c*****v,5,
v*****5,5,
muoyeebeng,5,
p*****z,5,
andy3969,5,
1mfkcwrpjq,5,
j*****3,5,
b*****x,5,
b*****x,5,
b*****x,5,
jesskhoochaiyi,5,
marcuscsh,5,
shuhui_14,5,
mikoteh1220,5,
yuyu148327,5,
w*****0,5,
edwind91,5,
jxnteo,5,
natural_wood,5,
jizaifoo1338,5,
chochochillis,5,
eexin131802,5,
suyee323,5,
chyierlooi,5,
chyierlooi,5,
lerwen990219,5,
wennicetan,5,
a*****i,4,
d*****k,5,
cpl_susan,5,
cysee1982,5,
esiu29,5,
c*****z,5,
sinhuey1997,5,
bonsol_7,5,
siaolang1234,5,
nicholejing,5,
carriechong0921,4,
evgqi029a6,5,
c*****n,5,
limtato,5,
chinjun97,5,
