username,rating,comment
x*****n,5,"Taste:好吃👍
Quality:👍👍👍之前有在一家店买到臭掉的 这家的没有臭掉😂

这个也一样 应该是我点的时候点错了只买了一个😂这个好吃👍"
jolin5765,5,"Good packaging, all items in one clean box. All items received in good condition. Bought so many items cos want to try. 1of the item is free but expired already. Another item is small 🥚 due on July. Lucky this not expensive item."
w*****n,5,"2nd time bought this with this seller, cheaper. But free shipping have to paid more Rm2.++. Will buy this again."
w*****n,5,味道不错，有些很小包，不过价钱便宜。放在公司里面吃。一下就出完了。选在有free shipping 和扣coins. 只是买的太少了。等有便宜再买来吃。推荐推荐。喜欢就买吧。
lyoke0929,5,"Taste:⭐️⭐️⭐️
Quality:⭐️⭐️⭐️

很好奇就买下来了 出货很快，味道是普通的香辣味 就是调料的味道，拿来当配料吃也不戳😋！"
x*****0,5,"Taste:haven't try yet
Quality:seems good

Every items received in good conditions."
teddyluii,5,delivery time and ship out time very da fast. All snack quantity correct. nice.
yysyong,5,Barang diterim dalam keadaan yanh baik dan lengkap tiada yang kurang penghantaran cepat tqtqtqtqtqtqtqtqqtqqtqtq
l*****8,5,"Taste:ok
Quality:ok

我最喜欢吃小吃 哈哈 买这么多吃到脸都生豆豆 😂 中国的零食真的太好吃了 👍 等我吃完在来跟你买 good 😘"
,5,"物流很快，物品也没损坏。而且很好吃，很值得买。
Logistics service is fast and things are very good."
shinow3030,5,"Taste:not yet makan

Very gooood
First Time buy things online
Very fast delivery"
yysyong,5,Barang diterima dalam keadaan yang baik dan lengkap penghantaran cepat tqtqtqtqtqtqtqtqqtqtq
j*****h,5,"Good product, good service , good quality. Highly recommended and also good packaging.
I will repeat order next time. Very nice to eat.👍👍👍👍非常好吃😋"
geory95,5,
felixphong_21,5,"Thank you seller 😁

Order Time: 07 Nov 2021

Received: 10 Nov 2021"
c*****1,5,fast delivery and received in good condition. Good value for money
s*****8,5,"Received parcel in good condition and safely. It is good packaging...Excelent product very satisfied, thanks seller will buy again....enjoy my shoping here"
m*****y,5,Received in good condition and fast shipping from seller. The food are so good ！
wk929945,5,"Responsible and polite seller, fast delivery.
No damage to the parcel. It was well packed, will  buy again. Good Seller."
c*****7,5,"Delivery fast, all product well packed, highly recommended"
gmylau,5,Fast delivery and got one free gift. Have not try yet. If it taste good i will buy again.
c*****0,5,super fast shipping by this seller . All item arrived in the correct amount. Thanks seller. 
t*****7,5,"东西都安全到达了哦👍🏻👍🏻
包裹也没有损坏👍🏻👍🏻👍🏻
已经回购很多次了👍🏻👍🏻
卖家也很有耐心回复了每次问的问题
态度也很好赞 谢谢卖家👍🏻"
