username,rating,comment
c*****8,5,"Fast delivery, item all good, easy to make, price not expensive"
boeylee2001,5,Good product by seller😁Fast shipping from seller😉Fast delivery by seller😁Very good value of product😉
ericyie83,5,"Good product quality, fast delivery, well packaging, everythg nicely organised to make sure all the stuff reach us safely.. 👍👍👍"
sckhor24,5,谢谢老板，货巳经安全收到，完整无缺！good good good!好漂亮，颜色也很美，圖片也可爱！再次的感谢老板，下次还会再买！希望下次买多一点offers!哈哈哈😆！
k*****n,5,"Super fast, awesome price, and super cute! I can’t say enough! THANKS!"
n*****1,5,Thank you so much to the seller!!!!!!!! I love it soooo much!!!!
ivyteow,5,"Good product
Good service
Good seller
Good delivery
All very good"
h*****n,5,Received in good condition!! Very fast delivery!!  Thank you
v*****0,5,Good products but a bit small for big packet of snacks. Fast delivery. Satisfied with the service provided👍🏻
m*****g,5,"Fast Delivery
Good Packing
Good Quality
Excellent service by Seller
Good value for money"
g*****3,5,"Very cute😍😍😍
Like it soooo much
Thank you seller
Worth it👍🏼👍🏼"
h*****i,5,"item received in good condition, delivery fast and smooth."
o*****5,5,Fast delivery ✅ and the product is wrapped in good condition. Thank you seller 😊
m*****9,5,"Good product quality
Satisfied with price...
Thank you seller"
h*****s,5,"Good, but corner of carton a bit dented. But still not affect the carton's function. Cute design."
t*****n,5,nice product and fast delivery！but can add some more bubble wrap next time cuz a bit folded in the middle.
s*****8,5,"GOOD PRODUCT QUALITY  👍🏻
GOOD VALUE FOR MONEY 👍🏻
FAST DELIVERY 👍🏻"
x*****8,5,Item received in good condition. Fast delivery too. Thank you 👍
4*****w,5,Nice product and fast delivery!! Hopefully can wrap more bubble wrap to protect the shape of the box
k*****a,5,发货快，运输慢，包装好，服务好，外部可爱，质量不错，蛮厚的，无损坏。各方面非常不错，非常喜欢。价格合理，有需要会再回购。😀👍👍👍
ffivu20j97,5,"Sorry for no pic, but the things came in good condition, thanks......"
qlwq0p5zoj,5,"Good value for money, delivery time very fast, five star to seller, nice"
shop.bpk,5,"Thx seller. 

Otherwise, For who interest this picture product - Warm belt, as a gift for girl is the great choice. Do Pm us↓Free Postage↓And we will reply u ASAP. thankyou❤

Shopee - Protect4uenterprise
Whatsapp +65 93710855"
f*****7,4,.....................................................
kaylng,4,"Fast delivery and the seller is very kindly and patient for answer my question, good quality also for the product it's worth to buy, will buy it again thank you"
sallyong333,3,"Quality : ⭐️⭐️⭐️
Delivery : ⭐️⭐️⭐️⭐️
A bit spoiled , pictures nice"
charmainect,5,"Fast delivery, and the packaging of the goods is intact"
s*****n,5,Fast delivery... Big package snack only can fit 4pack...... I thought can fit many.... Haha
thamsoknee,3,"Fast delivery shipping tapi ada satu dah koyak,tapi nevermind la"
c*****1,1,"well, I bought the box is to put others stuff, but not the snacks that I bought too.The box receive in very bad condition and only one layer of bubble wrap to protect the box. Receive in such condition, how I present to people?"
k*****j,5,每次确定收货后，我都会默认好评接着把星星填满，觉得这是个好习惯，每当评价对别的买家有很大帮助时，我就特别开心。个人评价：收到了，还没打开
edwindailyshop,5,每次确定收货后，我都会默认好评接着把星星填满，觉得这是个好习惯，每当评价对别的买家有很大帮助时，我就特别开心。个人评价：很可爱，只是到货时有点挤压到了不太美
s*****2,1,有点小皱褶，没附送说明书，有些不知道该怎么组装。有注明礼盒和肉松蛋饼罐分开包裹，也通知商家了，商家说可以，但是都没分开包裹导致礼盒皱褶。蛋饼罐也凹了。Slow delivery even in the same area.
laipuiyan,5,👍🏻👍🏻
fayelim0226,5,
night0620,1,严重凹陷
c*****e,5,The quality of the box is just nice...good value for money...
c*****6,5,出货超快的.. 😍 一丢丢的凹凸，但也不怎么影响外观，因为是底部.. 好可爱的猪盒子.. 没想象中大… 零食可以买小样点.. 😁
melissaho123,3,"the delivered package is in good condition, although the delivered package is smaller than expected, could only fulfil one-tenth of the overall box"
y*****n,5,"smaller than expected , rlly cute , suitable for small items price is reasonable fast delivery"
w*****r,5,"Fast delivery, received all item with well packaging, 3 cards and one stick to the sticker, luckily take out carefully no damage."
lemon9298,5,"Good product, fast delivery, good value of product"
44v0tzme1q,5,Good quality and service🥰
jessicacslee89,5,收到时候就有一层油腻汁，还好抹得掉
pinpin9663,5,价钱真得很便宜，包装也很安全，已经买了两次，还想再买，找了很多卖家，这一家是最便宜的，谢谢卖家
,5,Good value for money... Good product quality... Satisfied
liliyshien05,4,
p*****a,5,Fast delivery
e*****8,4,"Fast delivery 👍🏻👍🏻
Overall is ok 
只是四周多数都被压到
希望店主可以包多一些bubble wrap／其他方式 🙏🏻
will buy again 👍🏻"
44v0tzme1q,5,Received with good condition👍🏻
joeyng1007,5,
pohlin0129,5,Fast delivery and good condition
tinov159,5,很美的箱子没有任何损坏
chrisleong915,3,是不错的 但是烂了
lowkaiy,5,nice..
g*****e,5,
c*****3,1,卖个盒子能买到这样的价钱也是挺棒棒的
m*****5,5,"Good product quality! Fast delivery too, thank you so much seller."
r*****e,5,"Seller's attitude is good. Fast delivery, satisfied, will definitely come and buy again. However, the packaging to protect the box can still improve. The box is destroyed a little when received."
melissaho123,4,"very well packaged, with bubble wrap around it and parcel labelled with fragile, not much damaged, it's easy to fold without any user guide"
ivy_tan420,5,🤔 if need put a lot of snack food may purchase a bigger one.
c*****8,5,Nice
xiiaoxiiaony,5,很好👍只是比想象中的小了一点😂可是刚刚好够装礼物🎁❤️
joeytham23,5,"Superr fast delivery, seller ship out the item on the same day that I place order!! Item received in good condition but actually smaller than expected but it's okay thanks.☺️"
t*****e,5,谢谢收到了
ziqing_love_nailao,5,❤️❤️❤️
jasonwu0626,3,
stephykong_0066,5,包装很好 送到来也没有压扁和压坏  👍🏻
j*****2,5,盒子图案很满意~只是到货有稍微皱了一些，不过并无大碍~
i*****2,3,There is a bit damage on the box and i can see got tape to repair the damage place but overall is ok just a bit damage and the wrapping just only bubble wrap.
proahwoei,5,Good包装👍
cannieliau,5,Fast delivery & well packaging. Thanks seller 😘
teresaleemiao,5,Trustable seller 👍👍👍
sooyee94,3,Boxes cutting NG
v*****5,5,蛮不错
cheery2001,5,很可爱的盒子，猪猪盒
aaronchiew1901,5,希望多注意 礼盒来到已经邹了 明显裂痕几乎要角落要断/脱落 其余的还是可以 出货也很快
cpy_8888,5,Fast delivery 👍
i*****8,5,很好 很美 本來要買2个的 有一個沒有貨了
janedou8076,5,包装很好...............................................
p*****8,5,Thanks
nataliewai,5,很快收到货
yongjie9988,5,👍🏻
morgue0411,5,Good packaging
ganbeefee,5,Cute!
,5,不错
b*****y,5,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
c*****g,5,Fast delivery...... Barang sangat baik...... Boleh beli....
jiajingtee,5,"很漂亮，不过比想象中的小了一些些😖
会再回购👍🏻
发货快，物流也快👍🏻
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻"
n*****4,5,GoodgoodGoodgoodGoodgoodGoodgoodGoodgoodGoodgoodGoodgood
louis2teo,5,很好看
b*****0,5,"好可爱的纸箱
空间是有点小 装不了多少零食
不过纸箱质量不错"
l*****g,5,小朋友很喜欢，但是盒子的盖比较难折，对于比较笨的我，要花很长时间，哈哈哈哈哈。但是货物很快就到了，会推荐给身边的朋友哦。
n*****d,2,纸盒子用这种包装方式不行哦！没有厚纸卡包着，只有bubble wrapper顶多只是多一层防水啊！纸盒子有几条颇深的折痕，边边角角也摩擦软了，折起来卡不太住。绳子的长度也真是尴尬。
yiizhen7337,5,"Good❤
Thanks for the free gift👍"
n*****9,5,"Good product 😍😍
Received in good condition
Good product 😍😍
Received in good condition"
n*****9,5,"Fast delivery fast delivery
已经回购3次了 只是希望店主能把盒子包多一点bubble wrap 因为盒子已经被邮寄公司压到了 有很明显的痕迹。overall is good. Will buy again"
shzeemin,5,
kahweiloh,5,
kohguanthien,5,
choonseng21,5,
ivy3200,5,
ancient37,5,
u*****n,5,
siawhuibong,5,
gr_2g52pw3,5,
st0751,5,
c*****n,5,
choonseng21,5,
minerkhong,5,
janiceteh237,5,
vickyhee1984,5,
lklbigboss,5,
wongmiki,5,
yewpuicheng,5,
kidingbee,5,
hrw_bhjid6,5,
xiaofen2883,5,
rexquek,4,
cy.cheang,5,
h*****0,5,
3*****n,5,
mochaliew217,5,
r*****t,5,
junfa04,5,
pennyliew9696,5,
justeathaha,5,
k*****0,5,
7vs9cbk47m,5,
choonseng21,5,
p*****2,5,
got7_ahgase_igot7,5,
jayyapp,5,
pailanwong,5,
guanyi0913,5,
sinjie14,5,
sinjie14,5,
elsalee86,5,
elsalee86,5,
cloejw,5,
e*****3,5,
elsalee86,5,
jiahui_0806,5,
sysiysying,5,
jiahui971023,5,
elsalee86,5,
elsalee86,5,
daidai.snack,5,
daidai.snack,5,
kinkipoah,5,
kinkipoah,5,
jayyapp,5,
m*****3,5,
j*****g,5,
elleynn,5,
choonseng21,5,
lingleong98,5,
terrileong77,4,
a*****_,5,
p*****e,5,
winterwonderland1102,5,
carriehong83,5,
choipeng1103,5,
j*****g,5,
marie0901,5,
kimiyap0912,5,
taezhengyang,5,
joannafuiling,5,
xiufen04,5,
f*****8,5,
h*****3,5,
vivianmoey,5,
a*****g,5,
wongpp75,5,
lim970227,5,
joewong0611,5,
h*****7,5,
jcxruru,5,
jiahui0322,5,
c*****m,5,
celesteeng,5,
pokaiboy,5,
chenglin520,5,
a*****4,5,
jacklimlimlim95,3,
weiyi0204,5,
xinyi5610,5,
xiaofeii12,5,
woonchintie,5,
khoryonglun,5,
mikoying95,5,
sallyhmleong,5,
wongyeechung,5,
fen37,5,
amelylee,5,
meigirl_90,5,
jojo0605,4,
elaine0104,4,
chongsky0303,5,
sandycwm,5,
zry9yliipi,5,
jun.2108,5,
michele850829,5,
race_karann,5,
teocy12,5,
jun.2108,3,
mr.aaron98,1,
yenneechua,5,
shifei,5,
minxuan0921,3,
susan4388,5,
agnesyong1112,5,
niugoh,5,
h*****l,5,
chooilanloo,5,
wanching_0724,5,
mellon_99,5,
z*****0,5,
jianjianhaha,5,
zhihong1510,5,
leejiahui00421,5,
jingning_88,3,
sallylim1269,5,
xinyan_chin,5,
xhoong,4,
huixuan5505,5,
susanchin88,5,
c*****g,5,
xiaomei0418,5,
nikiichoo,3,
hanyapppy_0922,5,
winnikoo0716,5,
yeow1277,3,
gf_7peqh0d,5,
joycecq,4,
12raqp78anho0yrmjvnjt3z4usgr,5,
leepingtay,4,
yuheng0325,5,
zimeiliu,5,
jesrene5232,5,
yiwen731,5,
chok1101,5,
1008goh,5,
krystal_teh,5,
siewboon0048,2,
gs12iidd_w,5,
ningce0309,5,
miasow,5,
suewei96,5,
thengler,5,
kaven0602,1,
yiweng428,5,
amamda9665,5,
jjkelly85,5,
y*****8,5,
z*****_,4,
wanjun01,5,
shishanchiew,5,
jy06011356,5,
,5,
joeyyaya1114,5,
wenlee0319,5,
patricksiak1212,5,
s*****6,5,
ang5526layfang59056,5,
cjinyp,4,
kaylenelee94,5,
chuasuki,5,
kaiyithen,5,
c*****9,4,
synn39_,3,
kkyyang,1,
azimhasif4875,3,
shanon03,4,
sharonteoh0125,5,
eat_w1th_me,5,
ccy0901,4,
w.l.x,3,
sowjiajing,3,
