username,rating,comment
a*****c,5,"Order at Mar 24, received at Mar 28
和图片所示不一样，外层没有可可粉
没有期待的那样好吃"
kellytanbc,5,Thanks to seller for fast delivery service and safe packaging
lowck1392,5,"Fast delivery. Ordered 7/7, received on 9/7. Good packing and worth for the value."
c*****0,5,(●• ̀ω•́ )✧取快递📦收到货了，谢谢，这个肮脏包没有想象的那样...不算肮脏还是干净的一个包😅里面的巧克力少到吃不到感觉😅
lauyik,5,Delivery fast.packing ok.tq seller.some food have try taste ok.
amycle,5,Received parcel in good condition. Good packing and secure in 📦. Thumbs up 👍🏻 for seller. Thank you for the free gift.
m*****n,5,Order receive in good condition. Fast delivery. The date is manufacturing date so need to add 6month for expiry date.
j*****i,5,"Taste:SOSO

收到貨，出貨快
信譽賣家，值得信賴，值得購買👍👍👍👍👍
received, fast shipping
Reputable seller, trustworthy, worth buying👍👍👍👍👍"
inumaku,5,"Texture:nice
Taste:good

IT'S SO NICE I LOVE IT SO MUCH THANK YOU （I would buy again if interested）"
w*****o,5,"Fast delivery 
Good product quality 
Good value for money 
Excellent service by seller"
p*****t,5,Enjoy up to 15% OFF on domestic flights tickets with Malaysia Airlines from 26 - 28 March. Book your flight now! Go to Hotlink app @ https://www.hotlink.my/6790 to enjoy this deal. Ends 28 Mar.
w*****o,5,"Fast delivery 
Good product quality 
Good value for money 
Excellent service by seller"
_wawa08,5,Bestttt roti lemmbutttt .. cuma tk cukup kaya coklat dlm roti tu 🤣🤣😭
t*****g,5,"No free gift was given by the seller although it was stated in the order. 
The products were nicely packaged and delivered by the seller."
o*****e,5,A bit small compared to my expectations 🤣🤣 but overall is good
w*****n,5,"Taste:good
Texture:nice

First time buy.... 
Quick delivery ......
Item good good"
h*****w,5,"Taste:好吃的。
Texture:还行吧。

六天到货，包装还行。第二还是第三次买了吧，还是挺好吃的，里面好像是有巧克力的吧？我忘了。"
n*****e,5,"Taste:good
Texture:good

Fast delivery …good value for product… nice…yummy…"
v*****h,5,good product quality fast delivery value for money thank you seller
a*****4,5,"Well received the items. Good value for money and delicious. 
Ps: received free gift, so nice 👍🏻"
a*****4,5,"Fast delivery ~ just ordered yesterday but successful received by next day.
Orders received in good condition and so nice eating (delicious)~"
phuifonglee,5,Thanks for seller free gift 🎁 本来还以为脏脏包里面的面包会爆酱 可是吃起来so so nia 😂 年糕不错吃 😋
l*****0,5,"Good taste
Recommend to purchase
Good packaging
Slow in delivery"
s*****6,5,"Super fast delivery, good packing, definitely will bought again from this seller ❤️"
m*****6,5,Fast delivery… good packaging… first time try COD payment … so far so good… 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
m*****6,3,"The courier put the parcel at outside, didn’t packing in good, I disinfected it before take it in house."
fleximall,5,
h*****9,5,
lynnetecheong,5,Fast delivery
z*****6,4,有一個收到時已經漏風扁了 其他的都很好
s*****e,5,"Taste:haven't try
Texture:look good

Having Doubt that the date is manufacturing date or expired date...."
c*****e,5,"Fast delivery,  Very good,  
very delicious, very nice, 
I will buy it again next time."
mooibee56,5,"Received it. Fast delivery, product in good condition. Thank you."
t*****g,3,"Packing very nice, but snacks taste not good. Not recommend to buy, but price is cheap if you curious you still can try"
u*****3,5,"Taste:the taste is really nice and tasty
Texture:nice thank seller

Good value product"
a*****0,5,"Fast delivery, product received in good condition.
Good packing."
sheong9318,5,"Taste:ok
Texture:ok

Kualiti produk baik harga baik penghantaran yang pantas layanan penjual sangat baik."
s*****3,5,"good product, good value worth of the quality, good delivery"
khfoo25,5,"Taste:normal taste,our local bread will be more good to eat compare that"
pfl123,5,"Taste:Good
Texture:Good

The first time I bought it, I haven't tried its taste yet, the price is fair, I will buy it again if it tastes good"
a*****y,5,"Texture:soft

good packaging
thanksss
i hvnt test it yet
heh
thanjs
thanjyouu"
j*****0,3,到货了也无声无息，原来昨天就自动签收了，快递员没有任何信息通知，80多呢，太尼玛坑爹了。我们这里的快递迟一天去拿都会被别人偷掉。还好东西没有不见。去拿别的东西，刚好看到这一箱也是我的。
b*****t,5,Products arrived in good condition~~~Good packaging~~~Thank you very much~~~
e*****p,5,Taste:嗯，该怎么说呢，他的外貌和图片是比较像的，不过里面完全没有巧克力内陷，面包本身也非常干，没有喝水的话应该很难吞下去，不建议小孩或者长辈自己吃，怕他们噎到喉咙，不过大人可以试看看的
h*****c,5,"Taste:like normal bread

Taste just like normal bread, almost no fillings. But I give five starts because it's proportional to the price. Tq seller"
r*****6,5,"Taste:像是吃面包 空心的面包

一点都不脏🤔心里边巧克力才一点点😓"
p*****g,5,Very fast delivery. Good seller. Good value for money. Good quality products. Good delivery service. Good seller. Thanks seller. Free product.
e*****1,5,。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。good
wanyingteng,5,Fast delivery and receive in good condition. Valuable to purchase. Nice quality.
sukimei,5,"Not try yet, hope taste good, thanks seller."
h*****5,5,"Good service
Fast delivery
Thank you seller"
leesukfan9298,3,"Quite fast delivery, cheaper price compare with outside supermarket."
foongtan,5,"Taste:good

Parcel received in good condition and packaging.

good product of quality, Items received in good condition. 
fast delivery and nice seller.
good wrapping with the product."
