username,rating,comment
l*****0,5,"Taste:货很快到他的服务很好价格也不错很感谢，谢谢，我很喜欢那东西很不错，我很喜欢，谢谢谢谢谢谢。
Quality:很好我很喜欢在这个商店买东西他的价钱很不错。很不错，谢谢你，面皮那些没有问题，酸辣粉也是没有问题，我是喜欢他的商店很多东西可以选择。

货很快到他的商店价钱很便宜。他的东西毫无瑕疵。他的服务很好。我很喜欢在这个商店买东西。谢谢，他的商店很多东西愿意选择，很喜欢。 他有很多种，比如面皮呀，酸辣粉那些之类的，很不错，我很喜欢。"
_*****8,5,"Taste:good
Quality:haven’t try yet but hopefully is nice

Thank you seller ❤️"
albertgoh78,5,"Good service, delivery took time but OK still got it."
chunwei317,2,"Packing need more improvement, delivery a bit slow, need more responsive on delivery speed"
t*****9,5,All items are well received. Thanks for prompt delivery...
top.parcel,5,"Good product👍🏻👍🏻👍🏻，shipping out is take 3~4 day maybe is 11/11 la, but is ok👍🏻👍🏻👍🏻"
carmenyeoh86,5,Taste:信息了卖家两次问他几时出货没有回复我，直到我按取消订单后卖家才回复我，但是已经超过原本的出货日期了😡今天才收到货，但是盒子是烂的，里面的产品就如照片中那样，破开的破开，压的不成型的也有👎🏻👎
s*****8,5,"Taste:👍👍👍👍👍
Quality:👍👍👍👍👍

Received in goos condition . Fast shipping & delivery. That good value for money . TQ 😊😊"
y*****n,2,Parcel received in good condition but one of products i was received became a food supply store of a group of ants . Parcel is no broken i guess those ants is long living in there really feel😅&🤪.
ireneling9518,5,"收到包裹开箱很开心！
一开进去里面各种各样的美食！
买来送给朋友的，本来还打算包美美的！
不用了，整个箱子📦抱去给他，他也很开心❤️"
j*****2,5,Good product quality so good value for money. The delivery is fast also
shirleyw5844,5,Good quality products comes with good customer care service n also with free gifts. Will surely order again. Thank you very much.
kricialim,1,"I have no word to describe this sour spicy noodles,  I pay RM2.58 for it & look at the box 😶 is this how you pack it ? First time buying this.... And with not good impression already. Hope you can pack better & do better next time & don't make this mistake again"
t*****k,5,"Super fast delivery, received in 1 day after place order. Good and safe packaging, thank you seller."
y*****9,5,Item under good condition received.thank seller.Packing is very good.
z*****h,5,"Delivered around 1 week from China, secured packaging. A bit salty from the fish sauce."
chinnchyr,5,"the parcel wrapped with bubble wrap, but be like that. Fast delivery. Thank you seller . May be buy more better"
lindalim731,5,
