username,rating,comment
_*****8,5,"Taste:haven’t try yet
Quality:expired date is 10 months ltr

Overall packaging is ok thank you seller"
l*****p,5,Barang barang  dah sampai pun.  Anak saya sangat gembira dan terus mencuba salah satu barang tersebut. Sangat memuaskan hati. Sedap.... Tq seller and delivery company.
m*****g,5,"第一次在shopee购物，真的很棒！
第一颗星：商家可以用货到付款，可以避免付款了不给货。👍🏼
第二颗星：商家用包装很好，没有破盒或盒子凹凸不平。👍🏼
第三颗星：价钱不会太贵，很廉价就可以买得到。👍🏼
第四颗星：商家发货速度非常快，星期四定的货星期日就到了。👍🏼
第五颗星：商家的服务态度也很好，很细心的回答我的问题。👍🏼
非常推荐大家购买这位商家的物品👍🏼🥰"
sydneychai,5,GOOD PRODUCT QUALITY AND GOOD VALUE FOR MONEY! THANK YOU SO MUCH! SERVICES FROM SELLER WAS EXCELLENT! DELIVERY SPEED VERY FAST!
s*****g,4,"There’s a hole at the corner of the plastick which is not really hygienic. One of the items that we ordered was out of stock, thank you seller for exchanging it for us."
w*****t,5,"Taste:Not yet taste
Quality:Good ⭐⭐⭐⭐⭐

Very good product quality
Value for money
Fast delivery and good packaging
Very good in customer service"
a*****8,5,Received in good condition.. first time bought these... can't wait to try.
w*****w,5,"Taste:not eaten yet. should be taste good ☺️.
Quality:should be good quality ☺️.

product already well receive, in good condition but the below portion of the cup is seriously dented 🙁, hopefully it does not affect the auto-cook of the rice. it's cover well with plastic, no leak, no spill-out 👍👍👍. TQ! seller ☺️.
(very sorry ya, for rating this product so late)"
c*****o,5,"Very good,very fast ,very nice ,delivery good,product nice ,price nice"
y*****9,5,Item under good condition received.thank seller.Packing is very good.
w*****6,5,received well packed and as expected. Only one self heated rice box is dent. Hopefully still can self heated.
joosinyaw,5,delivery is ok and the product quality is good thanks seller
yixuan9875,3,Fast delivery good quality and value of the money will by again
ngchungmui,5,"Taste:好
Quality:好

06/07/22 下定单，12/07/22 到达，有盒子保护的包装ok，货物很完整，整体上都算好，品质也不错，重复购买。。。"
g*****i,5,Trusted seller. Bought few times from this seller.seller ship out the goods next day after place order. Parcel delivery was slightly late due to J&T .
polupeng,5,"Taste:good
Quality:👍🏻

东西好
物流快
卖家态度也是好得很
很是不错的
很是值得推荐的
真的很不错哦
有机会肯定还会再来的
包装也很用心
比心❤️❤️"
h*****4,5,"packing is good 👍👍
received with good condition👍👍
收到货了，包装很好，没有损坏"
w*****t,5,"Taste:Good
Quality:Good

Good product quality
Good quality and excellent packaging
Fast delivery and good quality
Value for money"
