username,rating,comment
w*****g,5,"Taste:good😋
Quality:good👍

Fast shipping👍Good packing👍Fast delivery👍ok tea time 肉絲夾面😋"
s*****5,4,"Taste:okay, not that crispy type
Quality:okay, well packed,

Taste okay, price is affordable quality okay"
alanyap211,5,barang sudah di terima dengan baik terima kasih seller dan deliver.
w*****g,5,Good packing . Good value for money.明天早岁可以肉絲面巴了😁😁😁.送礼又大方。
joqao4_z6e,5,Fast delivery and good packing. All products received in good condition. Will repeat order soon👍👍👍
s*****u,5,"Taste:so fast receive the item n have give a free bag... thx seller
Quality:very good"
r*****y,5,"Quality:good
Taste:good

Fast delivery, not yet taste. Hope it is yummy! Thanks"
baichengcan,5,"Parcel received in good condition, variation & quantity also correct."
ys25761314,5,"Nice packet of pork floss, like both the taste, normal and spicy. Decent delivery timing."
zr_tan,2,The product quality just so so and the delivery team took many days to deliver it to me. The seller service is good cause process my order very fast and ship it out on the same day. Keep it up!!!
yapp_jing_yi,5,感谢卖家按时发货👍🏻包裹还好 只是拿到的时候 包裹的袋子已经开了 不过里面完好无损😆腊肠的话 咬起来比较软 和以往我买的口感不一样 肉丝和肉干都好吃 价格合理 会再回购的❤️❤️❤️
c*****7,5,"Received in good condition. 
Thanks seller for the quality product. Recommended."
ipohwpf,5,"Taste:good
Quality:good

Good in packing.got extra small recycle bag given.bought again"
joechai88,5,Buy many times already!! Good!! Will keep on support in near future!! Keep it up!!
cecyliachong,5,"Taste:Not bad
Quality:Nice

25号订货29号收到，包裹完好无损，开了一包来尝尝，味道不错，口感太细了，希望包装有密封口，商家可以改进方便使用者收藏"
ong.laypeng,5,"Taste:don't know yet
Quality:looks good

Fast delivery and no damages. I have not tried it yet."
ipohwpf,5,"Quality:good
Taste:good

2nd times purchased.good service.good packing and fast delivery."
c2kbas2005,5,"received my purchases in simple yet safe conditions.......repeated orders many time, will purchase again soon"
lohsiewlen,5,"Received in good condition, it came together with the recycle bag. Not yet try, if nice will repeat order. Tq seller...."
ys25761314,5,"Quality:good quality floss
Taste:love the taste and texture, both spicy and original"
c*****2,5,Taste:This tastes wonderful!! It has a little bit spicy hot and smoky flavor.
ys25761314,5,"Like this floss, especially the spicy one. This is second purchase, will also get this next time."
t*****1,5,"Taste:Good, delicious
Quality:Good

Fast delivery, the packs of chicken and pork floss looks good and well packed. Even comes with a gift bag. Good value for money!"
b*****g,5,Item received in order. This is 2nd repeat order. Tried before and like the taste. Hope to try other flavour next time.
t*****i,5,"Shipping: fast..

Service: ok..

Product:  ok..

Taste:  ok..

With recycle bag."
e*****8,5,"Item received in good condition and well packaging, tq seller......"
oegexhaust,5,"Brg sdh sampai, terima kasih 
Cepat sampai dan semua ok, ini kali kedua sy beri brg dlm kedai ini, ada hadiah bag lagi 👍👍✋"
ngfennie,5,Receiced parcel today. The price is so reasonable compared with outside. Will give a try. If ok nec time buy again.
y*****g,4,"昨天凌晨下单,今天下午就到达了,卖家出货和快递的速度,是没话说了,但东西有些小瑕疵,肉松的真空带,有裂开一个小口,是会漏风的,海苔卷的罐子有些变型,请卖家多注意，整天还是不错的..."
qi_2zpqrnj,5,"Well packed , items received in good condition ,fast delivery ., tq seller !"
chanfoongtheng,5,"The eco bag is apparently smaller and it's non-dimensional compared to the previous one. Why not make it optional for not having the eco bag with a lower price instead? To be frank, I'm thinking what the use of these eco bags when in fact I couldn't even put my A4 sized file in them."
susanchen3833,5,"Quality:good
Taste:Nice"
sammenfuei,5,barang selamat diterima dalam keadaan baik.sudah banyak kali beli dengan penjual ini
cheongweeping,5,"Fast delivery, parcel received within 24 hours in good conditions."
p*****l,5,"Thank you...Dah banyak kali beli dengan seller ni...
Memang puas hati... Recommend seller..."
shiafeihing,5,"Taste:sooo goood
Quality:crunchy and flavourful

Kids and hubs love it ! So it’s a repurchase since price is good! Hope quality will always maintain ! Tq"
chin.connie,5,"Taste:Good
Quality:Good

My parcel safely arrived thank you seller good pecking and good money"
c*****n,5,Product packed well and arrived in good condition. Overall excellent.👍👍
j*****4,5,"Yummy!! 😋😋😋😋😋
First time purchase from this seller.
Although delivery took almost 10 days to received, but overall all items received safely in good condition. Thanks seller."
r*****r,5,"Taste:delicious, not too spicy
Quality:ok

Item received in good condition."
gt42hrjw1l,5,"Taste:good
Quality:good

Mega mega sale is good news for your. Fast delivery is good news for your."
pyz1747,5,"Fast delivery,harga berpatutan.sudah lupa berapa kali order.
Taste good.thank you seller give free gift bag.
Thank you."
june5250,5,"Taste:very nice
Quality:Good

Received in good packing condition and fast delivery.taste very nice and will repeat order"
t*****f,5,"Taste:Not tasted yet
Quality:-

Item received in good condition. Thank you very much seller."
a*****8,5,Tasty and crispy. I like it and have repeated purchase for many times. Value for money.
m*****8,5,"Taste:just received. Haven't tried yet.
Quality:hope it is good quality as claim.

Thank you seller for a beautiful gift bag. If it is good quality as claim, will surely re order. Thank you seller."
henryl.vkeong,5,"Received in good condition
Fast shipout
Nice packaging
Recommended seller"
t*****f,5,"Taste:Not tested yet
Quality:-

Item received in good condition. Thank you very much seller."
sl.voon,5,"Fast delivered,  good packing, good taste, sent with free gift, thank you."
hooshara,5,"Taste:新鲜，不会太甜，好吃
Quality:fresh and  good quality

Received in good condition.good value for money and fast delivery.thank for seller."
limpohluan,4,"Taste:taste ok
Quality:consider ok

Delivery is very fast, only 2-3 working days to reach kuching. 
Price for the meat floss is cheap.just seller didn't state the expired date.
Bought few times of bak kua from this shop already."
s*****m,5,"Order 19/8, ship time 20/8, diterima dengan baik dan selamat pada 25/8. Dah banyak kali repeat beli dengan seller ni. Recommended seller 👍👍👍"
sammenfuei,5,"Taste:rasanya bagus

Terima barang dalam keadaan baik"
eytan67,5,"Taste:Good but spicy
Quality:Good

Tried this first time and the taste is not too bad. Delivery is fast too. Will try other flavours next time."
ngsausiong,5,"4 different product, 4 recycle beg. Delivery super fast, ordered yesterday, today received..seller send out yesterday at night and today morning rcv from JnT. Taste wise, i repeated order many time so no need to comment further"
ycchin94,5,"Taste:Just received hope tastevgood
Quality:Item safe received thank you😊😊"
joanlee8899,5,Bought many many times.  Really cheap and yummy. Will continue to buy. Recommended many friends and relatives to buy
usernamekeepretrying,5,"Super fast delivery! Order placed on 11 Jan 12pm, received the next day 10+am, within 24 hours impressive. Packaging is nice, presentable as a gift."
s*****n,5,"2nd time purchased, good taste, good value for money, thanks."
youngman7974,5,"Received parcel within 3 days, consider fast delivery during  this period.  
Well packaging and the products looks fresh."
vequeneteo,5,"3rd time buy from this seller. Fast delivery , order 9/9, receive 11/9. Good product quality 👍👍👍👍👍 recommended 👍👍👍👍👍"
c*****k,5,"Taste:haven’t tried yet but should be nice one lah
Quality:looks good

Finally received. Seller shipped out within 24 hrs but had to wait quite some time for City Link to deliver."
yoniaw,5,Received in good condition. Taste good not too sweet . Thanks seller.
c*****n,5,"Very very fast delivery good service seller , buy again for this shop , good product 😁😁😁 thank you … will buy more 😁😁😁"
s*****6,5,"second buy, very nice product ang quality with cheapest price."
mcjes88,5,Good n very fast delivery. Arrived safely. Second time order bec very good quality. Nice flavour
m*****8,5,Shipping by j&t express is very slow… arrived one week after seller shipped out the item. Product is ok but without expiry date on it
h*****6,5,"Frist time buy 肉松 through shopee. Not yet try, hope taste good like what other buyers said."
g*****o,5,"Taste:Haven’t taste
Quality:Ok

Nice packing with a gift bag. Fast delivery.The price is not expensive. I hope it got good taste."
m*****8,5,The pork floss taste good but no expiry date and production date on the packaging…
j*****8,5,"Taste:Good
Quality:Good

Fast delivery👍 Received product in good condition. Well packaging. Thank you seller."
sin_hui94,5,Fast delivery!! Received product in good condition!! Looks nice 👍
shiafeihing,5,Haven’t eaten but received in good condition . Hope that it’s tasty then can repurchase !
leepeiying264,5,thank you seller...order on 13/1/22 and received on 15/1/22...
cfuisan,5,"Taste:yet try all the items. the oitment have sweet smell
Quality:The cans and oiltment containner  mild dented, still acceptable.

Thanks seller provided gift bag for chicken floss."
asamlaksa99,4,"We have bought a few times from this seller, unfortunately today we were out, J&T delivery neither rang us nor left the package on top of our pillar, the package was thrown inside our compound. It was dissatisfied and hope the delivery company would improved the services."
c*****i,5,"Taste:yet to try
Quality:good

Very fast delivery and good packaging. Hope the taste is good! Will repurchase if taste good."
x*****y,5,Second time purchased 👍🏻 bought one for my family too 😊
4*****q,5,"Received in good condition。
 fast delivery。
Good packaging。"
w*****w,5,Fast delivery and received in good condition. Good value for money.
johnnylim.2u,5,Good quality and fast delivery by seller. Good packaging by seller too.
e*****5,5,Buy chicken floss for do shanghai mooncake. Taste Very nice🤙🤙🤙fast delivery
sallywongng,5,Very fast delivery yesterday order today received look very nice but not try yet thanks seller
darkrise321,5,Good taste.. Good Vale for money. But don't see the expired date in packaging??
w*****h,5,Well received the chicken floss in good conditions. Thanks seller for the recycle bag.
n*****n,5,"Received it with good condition..First try, if nice definitely will buy again😬"
cheongwp,5,"Placed order on 10/10, received parcel in good conditions on 13/10."
t*****k,5,Thank you seller. Very fast shipping. Worth the money. 👍🏻👍🏻👍🏻
cscheong1,5,Fast delivery and well packed. Quality product. Worth the value.
oegexhaust,5,谢谢你们货三天就收到了，也谢谢运输服务很好。肉丝和鸡丝都好吃，味道咸度刚刚好，还有送环保袋呢？我会推荐给身边朋友们和会再次光临
t*****t,5,Thanks seller … this product Very nice taste 👍👍👍😊😊😊
stella_me,5,"Good product, second time purchased, my family like it. Delicious👍"
c*****e,5,"Item received in good condition. Great taste. Good product, quality and value for money. Thx seller."
sweetysing,5,"Received the product with good quality, nice to eeat and fast delivered, thank you seller"
s*****4,5,"Received in good condition, cheaper price and good product, thanks!"
m*****n,5,"Taste good, fast delivery. Repeat order many times. Thank you seller."
nicole4129,5,"Taste:haven't try yet
Quality:haven't try yet

It's very fast delivery and Received in good condition thank you very much"
poorman172,5,"Received in good condition.    No issue with courier service, seller and delivery"
c*****n,5,The product packed well and arrived in good condition. 👍👍👍👍
t*****3,5,Received in good condition. Exactly 300 gm. Give recycle bag every time. Wish they skip the bag and give more content instead.
c*****7,5,Fast delivery. Arrived in good good condition. Recommended seller.Buy many times already
t*****n,5,"fast delivery
bought using voucher，worth to buy 
will repurchase if good taste"
j*****w,5,"So yummy yummy 😋👍 Good product quality, Good value for money 👍👍👍"
t*****e,5,"Spicy, delicious to eat with porridge , like it. Fast delivery,"
8*****7,5,"Taste:spicy floss
Quality:excellent

Very fast delivery. Ordered 25 but received 27... Takes 2 days only. Thanks!!!"
seetyenyen,5,"Taste:very nice
Quality:👍👍👍👍👍👍👍

fast delivery, nice, already purchase many time👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍"
l*****1,5,Sangat cepat Sampai good services good quality of good berbalooiiii
j*****h,5,Fast delivery and excellent service by seller.Good value for money
c*****g,5,"Taste:not try yet
Quality:OK

Thank you seller. Received in good condition. Nice Packaging. Fast delivery.  Thank you very much."
m*****1,5,"Ordered on 12.7
Shipped on 12.7
Received on 13.7

Thank you so much dear seller  ❤️🙏🏻"
g*****i,5,"Received!  Very unexpected, will come next time~ Good seller, continue to pay attention!"
o*****e,5,商家发货真的非常快。包装到很好，只是纸箱不懂装什么药水还是洗衣粉之类，味道很重。这是第二次回购了，肉丝和山药片都非常新鲜，会再回购。
k*****a,5,Taste:love this meat floss. spicy but tolerable. countless times ordered from yummy.
ongliangsee,5,商家出货非常地快，货品也全部都很新鲜。至于价钱方面也不会贵。包装到非常好。不错，可以给五颗星，改天还会再回购。
r*****o,5,"Reasonable price
Value buy item
Good as gift during festival"
a*****1,5,"Taste:okay
Quality:okay

Good product quality good value for money fast delivery"
l*****e,5,Parcel was received in good condition. Nice to eat. Bought several times from this seller.
tbscecilia,5,Fast delivery and item received in good condition. Good value for money. Thanks.
k*****m,5,"6.6 ordered, 8.6 received (Sabah) so fast!! Repeated purchase, keep forgetting to inform seller no need recycle bag as i have alot of them already haha."
p*****g,5,Arrived in good condition. Have bought many times before. Good taste n yummy
f*****8,5,"Taste:nice
Quality:good

Second time purchase, fast delivery,good taste ."
flyhighlily,5,"Quality:smell lovely and taste excellent.
Taste:yummy, nice

Supper fast delivery from West to east Malaysia. Thank you seller. 5 stars!"
poorman172,5,"Received in good condition.    No issue with courier service, seller and delivery"
tkong66,5,"super fast delivery !
super pro packing !
super ori product !
super courteous seller !
+ free gift lagi !"
m*****9,5,"Taste:Very nice
Quality:Good

Items received in good condition. Well packed within the bag. Very fast delivery. Repeating buying😍"
