username,rating,comment
xiuhan88,5,"Thanks seller for the kind free gift.
Will definitely repeat order from you again.
Already park some books in my cart.
Waiting for next round to order and buy again.
Tq. And Good day."
bbfl1975,5,"Good packing.  4 ply protection.  Thumbs up, Good job. Got free gift, lovely. Thanks."
j*****9,5,Good books and fast delivery. It’s good value for money. Satisfied with the products!
d*****e,5,"I think this is not by the original writer? 
Anyhow, condition all good when received. Hope that it will be a good read. 
Thanks for the free bookmark."
pei.wenbb,5,Super fast Delivery! Speedy👍🏻👍🏻👍🏻👍🏻包得很好🤝安全保护得好👍🏻👍🏻👍🏻👍🏻谢谢
c*****h,5,"Received in good condition 👍🏻
Good value for money
Hope can cleanse and clear my thought starting with throwing😂"
jybt8,5,"Good value for a book like this, got it in good condition well wrapped."
sharryeu,5,每本书都有保护塑胶。fast delivery and all books arrived as per order. Good service.
jenntmf,5,Received parcel today.. delivery very fast and thank for the free gift.
chahuilew,5,Parcel received successfully! Nice packaging~ Thanks Seller
ganjh,5,第一次买书送木的书签🔖！！！真的好兴奋哈哈哈哈 但是我是射手座🌝🌝🌝 希望店主下次如果我有再买可以送我射手座的书签哈哈哈 anyway 包装到很好 物流也很快 只是没expect到原来断舍离这本书好薄😅真的就好像断 舍 离 这么concise
shinnie0418,5,Very fast delivery and product received in good condition. Thanks seller. I requested for the Aries ♈ bookmark and they really gave me. Appreciated.
c*****e,5,Very fast delivery and books received in good condition! Will buy again from this seller!
yvonne288,5,good value for money， good product quality， good service and fast delivery
y*****5,5,Nice quality ~ 书本挺不错，学习很多人生道理，人生必须要学习断舍离，离开一些不必要的烦恼，谢谢seller～
d*****4,5,"very fast delivery!! thanks seller the attitude, give u a like👍🏻"
sharon88wong,5,"Fast delivery 
With free book mark, like the book mark 
Content sneak peek ok, so far so good 
Paper quality ok."
mike_gan,5,Received in good condition and fast delivery. Trusted seller and will purchase again in near future. Thanks for the freegift. Really appreciate it.
c*****5,5,"书本📖安全到家📦🤝
商家的服务态度很好👍🏻👍🏻👍🏻
感谢你们的礼物哟🎁😉😉😉
非常推荐这家店✨✨✨✨✨✨"
761210woo,5,I have received 0【正版书籍】断舍离『断舍离是最顶级的自律』受益一生aaaaaaaaàaaaaaaaaaaaaaaaaaa
c*****y,5,Fast delivery good quality... Recommend .... Second time purchase..
q*****h,5,Good packing fast delivery all is new book very good hopefully  can.help.me
j*****h,5,Received within 3 days. The books are well wrapped with few layers of bubble wrap and not damaged till I received them. The only disappointed is some books are not wrapped with plastic cover.
s*****o,5,Very fast delivery & great packaging. Thanks for the bookmark free gift.
t*****n,5,Good value for money. Good products quality. Thank you seller. Fast delivery.
p*****n,5,"Good quality. Fast delivery to Kuching. Good service.
Got bookmark. Free gift."
alzx00,5,"Very impressive speed of delivery! Also, books quality and condition are quite good and with some surprise🥰I had bought from this store second time and it is still surprising me!"
to95jgqvte,5,"Very good offer during 11.11, the paper quality is good. The word printing is clear n is mix with simplified & traditional Chinese words. Easy to understand for reading."
a*****n,5,These are good quality product. Good value for money. I received  the goods in good condition and they send the products in short time. They wrapped it very well with bubble wrap. Excellent Service by seller. I bought from them first time. There are a lot of nice books. Thanks seller.
e*****9,5,Thank you seller for fast arrangement the delivery. Again thank you for the free bookmark. 💛
yapwei5554,5,"Fast Delivery⚡⚡⚡
The book quality is good👍👍👍
The seller have good serve👍👍👍
Thank You Very Much🙏🙏🙏"
k*****5,5,"謝謝老闆的贈品竹签。可惜不是我的星座哈哈
邮寄不算快，但是也不會太慢。
這是我人生第一本断舍离書籍。。。"
haohao1488,5,"包裹包得很好，很安全。
书到了完全没有损坏，值得购买。
而且老板人也很好，很有礼貌。要购买的朋友们不用犹豫，可以直接购买😊"
b*****8,5,"GOOD PRODUCT
GOOD SELLER
FAST DELIVERY
Thank you very much ."
j*****e,5,Delivery is fast and all books is well wrapped. Love it. Thanks Seller
fjvq9oo9ql,5,"Thanks for the free gift, trusted seller will intro to friends. Thank you"
1_x3ips8vj,5,Secure packaging. Double layer wrapped so that can prevent get wet. Received in good condition.
limsuesue,5,"Good quality fast delivery 
Good quality fast delivery 
Good quality fast delivery 
Good quality fast delivery 
Good quality fast delivery 
Good quality fast delivery 
Good quality fast delivery 
Good quality fast delivery"
joytay8369,5,"Very worth to buy, buy 3 with bundle price and seller is very nice to free me 1 book as doing promotion.. n fast delivery, yesterday order, today received 👍🏻 kudos seller 👍🏻"
k*****3,5,"Ordered 7.7.2021, 0.00am , received on next day early afternoon by ShopeeExpress in very good condition/packaging. And thanks for the extra gift."
wongsh12345678,4,包裹很好，还有赠送小礼物，本来应该五颗星，可惜，这个帖子的简介有误导人的内容，那就是提到山下英子，但是这本书作者却非山下英子。
janet2323,5,值得推荐的卖家服务很好发货也很快，昨天早上下单隔天收到。还有小礼物。谢谢
