username,rating,comment
h*****y,5,"tq for free give 
late comment ady 
but all item okay and gooddd"
j*****8,5,"Repeated order from this seller, good value for money, thank you"
j*****8,5,"1st time purchase, fast delivery by the seller, thank you..."
albertyii62,4,"刚刚好一包一次性用
刚刚好一包一次性用
刚刚好一包一次性用
刚刚好一包一次性用
刚刚好一包一次性用
刚刚好一包一次性用"
hannah2elf,5,Delivery fast and the parcels is in good condition buyer so patience 
sky_10rd,5,發貨速度不錯的說 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 還沒開始用還不知道效果如何 要是用了ok會再回購 謝謝
angelalee9695,5,"Thanks very fast delivery,👍👍👍👍👍 good service and nice,👍👏👏👏👏👏"
ying921003,5,"Nice product,original , use comfortablelly , will buy again👍👍"
ying921003,5,一包一次份量刚刚好，下单了无数次，因为用了看到效果，所以还会继续购买，真的是太好用了，价钱也很公道，好评好评
ying921003,5,买了第二次了，超级好用用了也很舒服，冰冰的感觉，慢慢看到改善了，还会继续回购，真的太棒了好评好评好评👍
ying921003,5,买了第二次了，超级好用用了也很舒服，冰冰的感觉，慢慢看到改善了，还会继续回购，真的太棒了好评好评好评👍
v*****3,5,"Fast delivery,  good product quality,  value for money.  Received free gift (cleanser) 👍👍👍👍👍"
p*****g,5,"I personally think each package 20g can be use 2 times. First time buyer, can't wait to try it."
p*****8,5,Fast delivery！买10包以上店主还有附送面膜碗🤩加上还有送上试用洗面膏😍，好用会再回购！谢谢
iawfy.studio,5,物理挺快 试用过了 他一包我分两次用 还有多 是挺补水的 还有一点点中药味👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
y*****2,5,"Skin Suitability:还没使用
Absorption:希望有效果

谢谢卖家的赠品，有效果会在回购！发货也很快！谢谢！！！！！！！！！！！！！！！！！"
jameslimwoeijiunn,5,"Received in good condition, and thank you very much for the free gift."
o*****8,5,平安收到包裹，多谢赠品😍已经回购无数次，卖家都是在线快回复，产品都是真材实料💯诚信卖家，推荐！用完会再回购👍❤️😍👍😘
jencmf31,5,"1st time purchase, never try yet but hope not bad."
aileensia,5,Received in good condition. Good packing. Good product quality. Good value for money. Thanks for the free gift.
c*****9,5,"Second time purchase... 
Item is good for use👍
Fast delivery...
Good value for 💰...
And also have a free gift.
Thanks seller...🤩"
aileensia,5,Good product quality. Good value for money. Fast delivery. Received with good condition.
chuwainee,5,"Very fast delivery, all products received in good condition and thank you for the free gift 🙂"
anee22,5,"发货快！ 很好用太满意了
我还会再回购  ,谢谢
Good Product Quality
Good Value for money
Fast Delivery 
Excellent Service "
kelly_w,5,"Good quality, fast delivery and excellent service provided by seller
我用了两次， 效果还不错！"
franz2222,5,"Fast delivery.Good value for money.👍👍👍
good value for money"
e*****c,5,"Very great facial mask, the result is truly good and I've recommend my friends to apply them! Got a free bowl and spoon set with purchase of 10 packs mask! 👍👍"
spooi761021,5,太小包了，货已经到了，谢谢商家👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍|ૂ•ᴗ•⸝⸝)|ૂ•ᴗ•⸝⸝)
shyien,5,"Good value for money, good product quality, fast delivery, excellent service by sellers "
panny26,5,"Thanks seller...get it..
Fast delivery and good service.."
c*****a,2,"Fast delivery too........
Thank you very much............"
kinki113,5,Fast delivery and thanks for de cleansing samples 👍👍👍
felicia_clay1220,5,
minxjm,5,
imkellyc988,5,
babyykay,5,
angiengbeequah,5,出货很快，昨天下单今天就收到了。还会再下单。谢谢。
b*****5,5,
jiaxinleow,5,"謝謝賣家的free gifts 
貨也很快收到
希望也用得有效果😊"
max_konghow,5,卖家发货真的超级快，大爱了。。。
aiyee26,5,期待它的效果❤️
jenny33388,5,收到了，谢谢
gohtsueyhong,5,👍👍👍
shirley1903,5,"I love the lavender,smell so good"
jadewst,5,价钱不贵 还送了些小礼物 如果试用了不错 一定不断的继续回购
q*****a,5,Thanks free gift👍
charlene1126,5,第一次购买，虽然covid-19的问题导致parcel迟来，但是卖家服务态度真的很好。也有帮忙顾客解决问题，还会再购买。谢谢卖家。
shirley1903,5,第二次购买了，谢谢卖家的赠品
t*****9,5,
cyfoong29,5,已经用来敷脸了，感觉保湿，效果很好... Fast delivery ... Thank you seller!
limhuikoon,5,
e*****e,5,Thank you very much seller. 👍 fast delivery.
waisee1987,5,出货很快。。而且送了很多小赠品，谢谢🥰
leongeefung,5,试用了lavender的面膜粉，很舒服，很保湿。超喜欢的，只是第一次敷得不太均匀。😅😅面膜撕不下来。
estherngpeng,5,
officeshg,5,
joyce86,5,Received with thanks . BTW thanks for the gift
yychang1979,5,"Fast delivery. Tq seller but haven't try yet the mask, after try will feedback again on the quality"
jylim24,5,Thanks for the free gift and tester🥰
ivyng9911,5,Received in good
meilien5158,5,
wawaliew95,5,
c*****r,5,
yunshann96,5,
pikakachuu,5,
leelychan1987,4,
puiquin,5,
junyuklee,5,还有小礼物😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😉😉😘😘😘😘😘😘😘😘😘😘😘
fionatham520,5,谢谢卖家 ❤️ 给好多free gift 🥰
1929ock,5,谢谢，产品收到了，也谢谢你的赠品。
susianafungfung,5,Tq 
ashley.ong.,5,谢谢卖家 人很好 下次再回购！😄
misskellychua,5,Delivery so fast and safe
evetyz,5,"物流超快
昨天下单 今天收到👍"
