username,rating,comment
c*****0,5,"Value for Money:Nice
Design & Wrapping:Nice

很好.............不错，满意，送给姐妹的，她很开心"
j*****y,5,"The item only wrap with one layer bubble wrap, received with the box got wet after rain, but the seller actively offer compensation, overall good shopping experience"
chungmy888,5,Thumb up. Very fast delivery. Bought it as birthday gift for my friend. Me and my friend also like it. Thank you seller.
evon0711,5,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
g*****1,5,Received product in good condition and good value for money very good and fast delivery got good bubble wrap and box thank you for the free gift
psc16,5,很适合送朋友的一款礼物，里面满满不同口味的零食，零食上面的日期是生产日期，盒子还没美美的，没有损坏，谢谢卖家
j*****7,5,"Received in good condition 👍🏻
Very protected
Not taste yet, but the package is nice
Thank you"
j*****a,5,"Value for Money:good
Design & Wrapping:very nice

My friend like the junk food very much, fast delivery, product good"
chungmy888,5,"Bought it for my friend, and she like it very much. Thank you seller."
y*****1,5,"Design & Wrapping:包裝很漂亮
Value for Money:價錢合理

送男友的情人節禮物 男友很喜歡❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
e*****8,5,"Fast delivery. Good value for money. Like it. Ordered on 25.10 and received on 27.10. within kl area. Box in good condition too. the snacks inside, mostly nuts. Overall is good."
chaiwee1299,5,Good value for money fast delivery and good service 店主很好，在我指定的时间收到货，值得推荐👍🏻👍🏻👍🏻
kexinnn526,5,"The delivery speed is fast, the snacks are very satisfied, and the packaging is also nice"
ong.s,5,"Design:very cute box design

Fast delivery and good value for money."
hengtheekwong,5,"Barang sampai dengan cepat, barang cantik, barang terima selamat"
v*****m,5,@21-：还记得小时候隔壁邻居家有个姓莫的奶奶，这么多年过去了很想念她，我好想莫奶奶呀[泣不成声]啊
changchunsiang,5,Received in good condition and everything  covered  by multiple  bubble  wrap.  Fast delivery  provided.  Recommend  to buy from this seller!!!
s*****h,5,"Received, a full box, the child was very surprised and very happy to receive it. Very satisfied."
y*****i,5,good product quality，good value of money，thank you seller.
s*****i,5,"The snacks are very nice and I love them. Fast delivery, value for money."
chenglin520,5,"Value for Money:Five star值得购买
Design & Wrapping:Five star

Buy for second time,nice
送人的，包装外表不错"
e*****n,3,"Design & Wrapping:Box design is funny
Value for Money:Nice for outer box design, poor quality in the inside snack

As a gift for my friend, Thanks for the card and my friend is surprised.. She love the box so much but not inside snack... All is go stale and not crispy at all, even the nuts or bistcuit.. So sad to hear that... Hope seller can improve all the snack.. Thank you"
f*****0,5,"Value for Money:gooood
Design & Wrapping:p erfect

fasterrrr nice giveaway friend birthday🥰
like it❤️❤️beatuful"
e*****e,5,见面送闺蜜的 肯定很爱 good 物流不错快 👍👍👍👍👍会再回购🥰🥰🥰🥰🥰 我还偷吃了一个 哈哈哈 不错吃下⭐⭐⭐⭐⭐
vivianechiew,5,Super fast delivery and well packed. Cute package with small snacks. Hope the kid likes. Sorry for wrong video.
s*****y,5,Sorry影片不相关！我已经跟这个卖家买了很多次，很值得，而且卖家也好好！我很急着需要，她当天就帮我寄出了！真的大推！
k*****0,5,"Value for Money:good value for the price

Received in good condition..cute packaging..fast delivery"
celinesim050111,4,"Value for Money:值得
Design & Wrapping:好看

出货快 送货快 很多零食 没有重复 适合拿来送给别人 收到特别开心 很好吃 很喜欢 包装特别好 包装特别的充实 无空洞"
mayloh8708,5,"Good Product Quality👍👍👍
Good Value For Money👍👍👍
Fast Delivery..."
z55lxarh17,5,糟糕!是右心房收纳全身的静脉血通过右心室从肺动脉泵出此时肺动脉中流的是静脉血通过肺中的气体交换变成含氧丰富的动脉血由肺静脉送至左心房再通过左心室的主动脉泵向全身的感觉“曾经有个真诚的爱情摆在我眼前 我没有去珍惜 直到失去之后 才后悔莫及 如果上天愿意给我一个机会 我就跟那个女人说三个字 我爱你 如果要再加上一个期限 我喜欢是 一万年”
c*****g,5,"Fast delivery, good packaging, the pretty box only corner bit dented. Acceptable still. No ant inside. Thanks seller help to select snacks for kids."
c*****g,5,"Fast delivery, good packaging, the pretty box only corner bit dented. Acceptable still. No ant inside. Thanks seller help to select snacks for kids."
snowballloveyou,5,"Value for Money:good value for money
Design & Wrapping:nice

Thank you seller my friend love it so much."
9*****u,5,Great value👍 Good product quality👍👍 Excellent service by seller and very well packed👍👍👍
c*****n,5,"👍👍👍👍👍👍👍👍👍👍
👍👍👍👍👍👍👍👍👍👍
👍👍👍👍👍👍👍👍👍👍
👍👍👍👍👍👍👍👍👍👍
👍👍👍👍👍👍👍👍👍👍"
l*****9,5,"Pembungkusan yang sangat baik.
Penghantaran yang sangat cepat.

Ini adalah pembelian kali petama.pada Masa akan datang,saya rasa saya akan buat pembelian lagi.
Diharap penjual akan memberi discount dar"
